gender,type,age,2000,2000,2000,2001,2001,2001,2002,2002,2002,2003,2003,2003,2004,2004,2004,2005,2005,2005,2006,2006,2006,2007,2007,2007,2008,2008,2008,2009,2009,2009,2010,2010,2010,2011,2011,2011,2012,2012,2012
,,,Rate,Count,Pop,Rate,Count,Pop,Rate,Count,Pop,Rate,Count,Pop,Rate,Count,Pop,Rate,Count,Pop,Rate,Count,Pop,Rate,Count,Pop,Rate,Count,Pop,Rate,Count,Pop,Rate,Count,Pop,Rate,Count,Pop,Rate,Count,Pop
Male and female,All,00 years,0,0,"373,594",0,0,"388,714",0,0,"381,527",0,0,"383,429",0,0,"385,513",0,0,"381,293",0,0,"388,143",0,0,"396,612",0,0,"391,622",0,0,"384,371",0,0,"378,637",0,0,"379,009",0,0,"376,975"
Male and female,All,01-04 years,0,0,"1,471,029",0,0,"1,467,319",0,0,"1,479,125",0,0,"1,487,176",0,0,"1,497,223",0,0,"1,510,331",0,0,"1,513,954",0,0,"1,525,547",0,0,"1,542,431",0,0,"1,548,930",0,0,"1,550,521",0,0,"1,546,265",0,0,"1,537,196"
Male and female,All,05-09 years,0,0,"1,943,950",0,0,"1,910,547",0,0,"1,876,060",0,0,"1,845,748",0,0,"1,829,702",0,0,"1,823,460",0,0,"1,841,928",0,0,"1,859,344",0,0,"1,884,209",0,0,"1,914,944",0,0,"1,931,941",0,0,"1,936,963",0,0,"1,952,945"
Male and female,All,10-14 years,0,0,"1,939,331",0,0,"1,970,759",0,0,"1,992,626",0,0,"2,002,310",0,0,"1,997,895",0,0,"1,975,034",0,0,"1,958,007",0,0,"1,941,840",0,0,"1,930,808",0,0,"1,930,836",0,0,"1,935,746",0,0,"1,944,311",0,0,"1,945,710"
Male and female,All,15-19 years,0,0,"1,873,008",0,0,"1,884,372",0,0,"1,890,287",0,0,"1,901,028",0,0,"1,921,074",0,0,"1,953,822",0,0,"1,986,372",0,0,"2,009,943",0,0,"2,024,649",0,0,"2,023,036",0,0,"2,004,668",0,0,"1,981,861",0,0,"1,962,866"
Male and female,All,20-24 years,0,0,"1,805,192",0,0,"1,857,169",0,0,"1,890,284",0,0,"1,911,342",0,0,"1,920,239",0,0,"1,923,651",0,0,"1,930,280",0.1,1,"1,921,010",0,0,"1,931,453",0,0,"1,949,019",0,0,"1,969,238",0,0,"2,013,632",0,0,"2,056,564"
Male and female,All,25-29 years,0,0,"1,924,475",0,0,"1,879,912",0,0,"1,851,051",0,0,"1,842,649",0,0,"1,856,499",0,0,"1,886,831",0,0,"1,947,999",0,0,"1,991,401",0,0,"2,031,083",0,0,"2,049,081",0,0,"2,046,052",0,0,"2,057,822",0,0,"2,063,415"
Male and female,All,30-34 years,0,0,"2,048,742",0,0,"2,069,099",0,0,"2,063,370",0,0,"2,031,371",0,0,"1,988,844",0,0,"1,937,643",0,0,"1,893,919",0,0,"1,881,348",0.1,1,"1,898,742",0.1,1,"1,933,883",0,0,"1,972,780",0,0,"2,019,495",0,0,"2,063,528"
Male and female,All,35-39 years,0,1,"2,205,639",0,1,"2,162,869",0,0,"2,106,448",0,0,"2,055,242",0,0,"2,016,199",0,0,"2,017,372",0,1,"2,037,163",0,0,"2,040,344",0,0,"2,025,661",0,0,"1,996,673",0.1,1,"1,952,536",0,0,"1,911,573",0,0,"1,909,785"
Male and female,All,40-44 years,0,1,"2,184,309",0.1,2,"2,202,912",0,0,"2,199,243",0,0,"2,189,555",0,0,"2,185,182",0,0,"2,158,258",0,1,"2,120,965",0.1,2,"2,077,298",0,0,"2,039,115",0.1,2,"2,009,771",0,0,"2,013,079",0,0,"2,032,032",0,0,"2,036,476"
Male and female,All,45-49 years,0.2,3,"1,971,231",0,0,"2,011,308",0,1,"2,053,262",0,1,"2,085,679",0,0,"2,106,869",0.1,3,"2,130,620",0.1,3,"2,151,329",0.1,3,"2,154,445",0,0,"2,152,326",0,1,"2,154,165",0,0,"2,130,774",0.1,2,"2,089,109",0,1,"2,050,506"
Male and female,All,50-54 years,0.1,1,"1,724,017",0.1,1,"1,806,424",0.2,3,"1,806,960",0,0,"1,835,644",0.2,4,"1,874,587",0.2,4,"1,914,251",0.4,7,"1,959,160",0.1,3,"2,008,619",0.3,6,"2,049,621",0.1,2,"2,078,543",0,1,"2,105,875",0,1,"2,120,874",0.1,2,"2,122,566"
Male and female,All,55-59 years,0.1,1,"1,264,209",0.2,2,"1,308,499",0.3,4,"1,423,315",0.2,3,"1,488,199",0.3,4,"1,561,625",0.2,4,"1,648,332",0.2,4,"1,731,263",0.3,5,"1,739,696",0.4,7,"1,776,197",0.2,3,"1,822,397",0.1,2,"1,868,876",0.3,5,"1,913,246",0.3,5,"1,960,343"
Male and female,All,60-64 years,0.4,4,"957,131",0.4,4,"982,301",0.2,2,"1,021,153",0.3,3,"1,082,654",0.4,5,"1,135,082",0.3,3,"1,179,616",0.2,2,"1,225,834",0.3,4,"1,339,356",0.2,3,"1,406,315",0.3,5,"1,484,572",0.4,6,"1,571,648",0.4,6,"1,651,061",0.2,3,"1,659,321"
Male and female,All,65-69 years,0.7,6,"819,940",0.9,7,"817,543",0.4,3,"822,126",0.5,4,"838,021",0.3,3,"858,243",0.7,6,"879,405",0.2,2,"906,067",0.4,4,"945,615",0.3,3,"1,007,562",0.2,2,"1,061,485",0.7,8,"1,108,796",0.3,4,"1,150,692",0.4,5,"1,255,898"
Male and female,All,70-74 years,0.4,3,"770,160",0.5,4,"763,832",0.5,4,"753,902",0.9,7,"743,843",1,7,"734,437",0.1,1,"733,854",0.7,5,"735,060",0.9,7,"741,111",0.8,6,"756,490",0.4,3,"777,206",0.4,3,"797,844",0.8,7,"823,664",0.9,8,"860,790"
Male and female,All,75-79 years,1.7,11,"665,591",1.4,9,"665,370",0.9,6,"663,240",1.8,12,"661,799",1.1,7,"655,703",0.9,6,"652,166",1.1,7,"649,584",0.9,6,"643,297",0.9,6,"636,374",1.1,7,"631,443",1.3,8,"631,734",0.5,3,"635,023",0.9,6,"641,962"
Male and female,All,80-84 years,2,9,"454,636",2.1,10,"469,587",2.7,13,"484,386",1.6,8,"493,746",2,10,"505,014",1.8,9,"512,864",1,5,"515,079",1.7,9,"516,309",1.4,7,"516,831",1.2,6,"515,177",1.7,9,"514,952",1.4,7,"514,696",2.7,14,"511,644"
Male and female,All,85+ years,3.3,13,"391,360",4.3,17,"399,651",4.9,20,"407,485",4.1,17,"419,258",2.1,9,"428,427",3.8,17,"444,057",2.6,12,"462,556",4,19,"479,742",3.6,18,"495,098",4.1,21,"511,573",3,16,"528,653",2.6,14,"543,657",2.9,16,"558,169"
Male and female,SCC,00 years,0,0,"373,594",0,0,"388,714",0,0,"381,527",0,0,"383,429",0,0,"385,513",0,0,"381,293",0,0,"388,143",0,0,"396,612",0,0,"391,622",0,0,"384,371",0,0,"378,637",0,0,"379,009",0,0,"376,975"
Male and female,SCC,01-04 years,0,0,"1,471,029",0,0,"1,467,319",0,0,"1,479,125",0,0,"1,487,176",0,0,"1,497,223",0,0,"1,510,331",0,0,"1,513,954",0,0,"1,525,547",0,0,"1,542,431",0,0,"1,548,930",0,0,"1,550,521",0,0,"1,546,265",0,0,"1,537,196"
Male and female,SCC,05-09 years,0,0,"1,943,950",0,0,"1,910,547",0,0,"1,876,060",0,0,"1,845,748",0,0,"1,829,702",0,0,"1,823,460",0,0,"1,841,928",0,0,"1,859,344",0,0,"1,884,209",0,0,"1,914,944",0,0,"1,931,941",0,0,"1,936,963",0,0,"1,952,945"
Male and female,SCC,10-14 years,0,0,"1,939,331",0,0,"1,970,759",0,0,"1,992,626",0,0,"2,002,310",0,0,"1,997,895",0,0,"1,975,034",0,0,"1,958,007",0,0,"1,941,840",0,0,"1,930,808",0,0,"1,930,836",0,0,"1,935,746",0,0,"1,944,311",0,0,"1,945,710"
Male and female,SCC,15-19 years,0,0,"1,873,008",0,0,"1,884,372",0,0,"1,890,287",0,0,"1,901,028",0,0,"1,921,074",0,0,"1,953,822",0,0,"1,986,372",0,0,"2,009,943",0,0,"2,024,649",0,0,"2,023,036",0,0,"2,004,668",0,0,"1,981,861",0,0,"1,962,866"
Male and female,SCC,20-24 years,0,0,"1,805,192",0,0,"1,857,169",0,0,"1,890,284",0,0,"1,911,342",0,0,"1,920,239",0,0,"1,923,651",0,0,"1,930,280",0,0,"1,921,010",0,0,"1,931,453",0,0,"1,949,019",0,0,"1,969,238",0,0,"2,013,632",0,0,"2,056,564"
Male and female,SCC,25-29 years,0,0,"1,924,475",0,0,"1,879,912",0,0,"1,851,051",0,0,"1,842,649",0,0,"1,856,499",0,0,"1,886,831",0,0,"1,947,999",0,0,"1,991,401",0,0,"2,031,083",0,0,"2,049,081",0,0,"2,046,052",0,0,"2,057,822",0,0,"2,063,415"
Male and female,SCC,30-34 years,0,0,"2,048,742",0,0,"2,069,099",0,0,"2,063,370",0,0,"2,031,371",0,0,"1,988,844",0,0,"1,937,643",0,0,"1,893,919",0,0,"1,881,348",0,0,"1,898,742",0.1,1,"1,933,883",0,0,"1,972,780",0,0,"2,019,495",0,0,"2,063,528"
Male and female,SCC,35-39 years,0,1,"2,205,639",0,1,"2,162,869",0,0,"2,106,448",0,0,"2,055,242",0,0,"2,016,199",0,0,"2,017,372",0,1,"2,037,163",0,0,"2,040,344",0,0,"2,025,661",0,0,"1,996,673",0,0,"1,952,536",0,0,"1,911,573",0,0,"1,909,785"
Male and female,SCC,40-44 years,0,0,"2,184,309",0,1,"2,202,912",0,0,"2,199,243",0,0,"2,189,555",0,0,"2,185,182",0,0,"2,158,258",0,1,"2,120,965",0,1,"2,077,298",0,0,"2,039,115",0,1,"2,009,771",0,0,"2,013,079",0,0,"2,032,032",0,0,"2,036,476"
Male and female,SCC,45-49 years,0.1,1,"1,971,231",0,0,"2,011,308",0,0,"2,053,262",0,1,"2,085,679",0,0,"2,106,869",0.1,2,"2,130,620",0,1,"2,151,329",0.1,2,"2,154,445",0,0,"2,152,326",0,1,"2,154,165",0,0,"2,130,774",0.1,2,"2,089,109",0,1,"2,050,506"
Male and female,SCC,50-54 years,0,0,"1,724,017",0.1,1,"1,806,424",0.2,3,"1,806,960",0,0,"1,835,644",0.1,2,"1,874,587",0.1,1,"1,914,251",0.3,5,"1,959,160",0.1,3,"2,008,619",0.1,3,"2,049,621",0,1,"2,078,543",0,1,"2,105,875",0,1,"2,120,874",0.1,2,"2,122,566"
Male and female,SCC,55-59 years,0.1,1,"1,264,209",0,0,"1,308,499",0.1,2,"1,423,315",0,0,"1,488,199",0.1,2,"1,561,625",0.2,4,"1,648,332",0.2,3,"1,731,263",0.1,2,"1,739,696",0.3,5,"1,776,197",0.1,2,"1,822,397",0.1,1,"1,868,876",0.2,4,"1,913,246",0.1,2,"1,960,343"
Male and female,SCC,60-64 years,0.2,2,"957,131",0.3,3,"982,301",0.1,1,"1,021,153",0.1,1,"1,082,654",0,0,"1,135,082",0.2,2,"1,179,616",0.1,1,"1,225,834",0.2,3,"1,339,356",0.2,3,"1,406,315",0.3,4,"1,484,572",0.3,5,"1,571,648",0.4,6,"1,651,061",0.2,3,"1,659,321"
Male and female,SCC,65-69 years,0.6,5,"819,940",0.2,2,"817,543",0.1,1,"822,126",0.1,1,"838,021",0.3,3,"858,243",0.2,2,"879,405",0,0,"906,067",0.2,2,"945,615",0.2,2,"1,007,562",0.1,1,"1,061,485",0.5,6,"1,108,796",0.3,4,"1,150,692",0.2,2,"1,255,898"
Male and female,SCC,70-74 years,0.3,2,"770,160",0.4,3,"763,832",0.4,3,"753,902",0.7,5,"743,843",0.3,2,"734,437",0.1,1,"733,854",0.4,3,"735,060",0.8,6,"741,111",0.7,5,"756,490",0.1,1,"777,206",0,0,"797,844",0.4,3,"823,664",0.6,5,"860,790"
Male and female,SCC,75-79 years,1.4,9,"665,591",1.4,9,"665,370",0.8,5,"663,240",1.5,10,"661,799",0.9,6,"655,703",0.9,6,"652,166",1.1,7,"649,584",0.6,4,"643,297",0.8,5,"636,374",0.8,5,"631,443",1.3,8,"631,734",0.5,3,"635,023",0.8,5,"641,962"
Male and female,SCC,80-84 years,1.8,8,"454,636",1.9,9,"469,587",2.3,11,"484,386",1.2,6,"493,746",1.6,8,"505,014",1.2,6,"512,864",0.8,4,"515,079",1.7,9,"516,309",1,5,"516,831",1,5,"515,177",1.6,8,"514,952",1.4,7,"514,696",2.5,13,"511,644"
Male and female,SCC,85+ years,3.1,12,"391,360",3.5,14,"399,651",4.2,17,"407,485",3.6,15,"419,258",1.9,8,"428,427",3.2,14,"444,057",2.6,12,"462,556",2.7,13,"479,742",2.8,14,"495,098",3.5,18,"511,573",2.5,13,"528,653",2.4,13,"543,657",2.1,12,"558,169"
  Male,All,00 years,0,0,"191,596",0,0,"198,292",0,0,"194,739",0,0,"196,240",0,0,"196,553",0,0,"194,954",0,0,"198,980",0,0,"203,376",0,0,"200,246",0,0,"196,297",0,0,"193,449",0,0,"193,700",0,0,"192,545"
  Male,All,01-04 years,0,0,"752,739",0,0,"751,286",0,0,"757,009",0,0,"759,616",0,0,"764,769",0,0,"769,968",0,0,"772,854",0,0,"779,694",0,0,"789,047",0,0,"793,377",0,0,"793,614",0,0,"790,606",0,0,"785,357"
  Male,All,05-09 years,0,0,"995,664",0,0,"978,158",0,0,"960,646",0,0,"944,894",0,0,"936,139",0,0,"933,559",0,0,"942,022",0,0,"950,731",0,0,"962,570",0,0,"977,428",0,0,"986,455",0,0,"989,793",0,0,"998,693"
  Male,All,10-14 years,0,0,"993,312",0,0,"1,009,645",0,0,"1,020,765",0,0,"1,026,214",0,0,"1,024,119",0,0,"1,011,774",0,0,"1,002,506",0,0,"994,611",0,0,"988,640",0,0,"987,907",0,0,"990,697",0,0,"994,391",0,0,"994,685"
  Male,All,15-19 years,0,0,"962,808",0,0,"970,231",0,0,"972,992",0,0,"977,129",0,0,"986,093",0,0,"1,002,680",0,0,"1,019,393",0,0,"1,031,193",0,0,"1,038,822",0,0,"1,037,634",0,0,"1,027,809",0,0,"1,016,677",0,0,"1,006,213"
  Male,All,20-24 years,0,0,"920,290",0,0,"948,261",0,0,"965,937",0,0,"977,886",0,0,"982,298",0,0,"987,363",0,0,"992,708",0,0,"985,350",0,0,"989,352",0,0,"996,208",0,0,"1,005,582",0,0,"1,031,369",0,0,"1,055,867"
  Male,All,25-29 years,0,0,"974,903",0,0,"951,392",0,0,"934,946",0,0,"927,666",0,0,"932,783",0,0,"944,907",0,0,"976,212",0,0,"997,068",0,0,"1,020,470",0,0,"1,032,838",0,0,"1,032,952",0,0,"1,042,492",0,0,"1,046,698"
