gender,type,age,2000,2000,2000,2001,2001,2001,2002,2002,2002,2003,2003,2003,2004,2004,2004,2005,2005,2005,2006,2006,2006,2007,2007,2007,2008,2008,2008,2009,2009,2009,2010,2010,2010,2011,2011,2011,2012,2012,2012
,,,Rate,Count,Pop,Rate,Count,Pop,Rate,Count,Pop,Rate,Count,Pop,Rate,Count,Pop,Rate,Count,Pop,Rate,Count,Pop,Rate,Count,Pop,Rate,Count,Pop,Rate,Count,Pop,Rate,Count,Pop,Rate,Count,Pop,Rate,Count,Pop
  Male,All,30-34 years,0,0,"1,036,263",0,0,"1,047,133",0,0,"1,043,087",0,0,"1,023,856",0,0,"1,000,920",0,0,"973,902",0,0,"950,087",0,0,"942,395",0,0,"951,092",0,0,"968,507",0,0,"986,482",0,0,"1,011,067",0,0,"1,034,384"
  Male,All,35-39 years,0,0,"1,104,212",0,0,"1,084,529",0,0,"1,055,452",0,0,"1,029,566",0,0,"1,010,080",0,0,"1,009,738",0,0,"1,018,922",0,0,"1,019,414",0,0,"1,010,278",0,0,"995,275",0,0,"972,495",0,0,"952,537",0,0,"951,657"
  Male,All,40-44 years,0,0,"1,085,644",0,0,"1,095,360",0,0,"1,093,683",0,0,"1,087,524",0,0,"1,084,983",0,0,"1,072,241",0,0,"1,054,664",0,0,"1,032,751",0,0,"1,015,521",0,0,"1,001,939",0,0,"1,003,658",0,0,"1,013,233",0,0,"1,015,178"
  Male,All,45-49 years,0,0,"971,149",0,0,"991,966",0,0,"1,013,084",0,0,"1,030,068",0,0,"1,040,654",0,0,"1,052,457",0,0,"1,063,301",0,0,"1,064,924",0,0,"1,063,311",0,0,"1,064,336",0,0,"1,053,789",0,0,"1,034,523",0,0,"1,016,033"
  Male,All,50-54 years,0,0,"845,050",0,0,"884,748",0,0,"885,201",0,0,"899,443",0,0,"918,463",0,0,"938,676",0,0,"960,783",0,0,"984,829",0,0,"1,006,140",0,0,"1,021,098",0,0,"1,034,563",0,0,"1,042,636",0,0,"1,043,576"
  Male,All,55-59 years,0,0,"617,864",0,0,"638,707",0,0,"693,867",0,0,"723,915",0,0,"759,446",0,0,"801,630",0,0,"840,738",0,0,"844,588",0,0,"862,548",0,0,"884,522",0,0,"907,694",0,0,"930,228",0,0,"953,977"
  Male,All,60-64 years,0,0,"457,877",0,0,"471,111",0,0,"490,997",0,0,"521,481",0,0,"546,561",0,0,"568,113",0,0,"589,821",0,0,"643,941",0,0,"675,422",0,0,"713,567",0,0,"755,582",0,0,"792,358",0,0,"795,606"
  Male,All,65-69 years,0,0,"378,412",0,0,"377,821",0,0,"381,052",0,0,"389,948",0,0,"400,466",0,0,"411,377",0,0,"425,286",0,0,"445,561",0,0,"476,105",0,0,"501,440",0,0,"524,484",0,0,"544,125",0,0,"594,257"
  Male,All,70-74 years,0,0,"340,107",0,0,"339,085",0,0,"335,511",0,0,"331,488",0,0,"327,986",0,0,"329,131",0,0,"330,412",0,0,"334,346",0,0,"342,869",0,0,"353,645",0,0,"364,509",0,0,"377,913",0,0,"396,366"
  Male,All,75-79 years,0,0,"275,617",0,0,"276,095",0,0,"276,213",0,0,"276,977",0,0,"275,910",0,0,"276,353",0,0,"277,379",0,0,"275,769",0,0,"273,629",0,0,"272,201",0,0,"274,091",0,0,"276,864",0,0,"281,280"
